Ngày,Đóng cửa,Cao nhất,Thấp nhất,Mở cửa,Số lượng,Nhãn dán
2021-03-01,129.93618774414062,131.35212882847355,127.9066779514091,128.0388318764656,5717800,NKE
2021-03-02,129.3414764404297,130.51197828457546,128.01048863020458,129.85120879131662,5292700,NKE
2021-03-03,126.73617553710938,129.70966078647686,126.63233926991813,129.40758640784813,4888400,NKE
2021-03-04,124.64057159423828,127.55742127029345,122.88480401602077,126.4907410093151,7181500,NKE
2021-03-05,125.87716674804688,126.18866110785554,121.95028672794898,126.05650718428001,5957100,NKE
2021-03-08,127.01937866210938,128.02942375687826,124.95210194969123,126.15093634708313,4983000,NKE
2021-03-09,128.3314666748047,130.26658917738234,127.85948627923447,127.91612162211112,5977800,NKE
2021-03-10,129.87954711914062,130.45536371281432,128.47305491764854,128.85063342995718,4519600,NKE
2021-03-11,133.27781677246094,134.2312119172704,130.79519546202056,131.38044650104246,5696500,NKE
2021-03-12,132.57925415039062,133.01348233375725,130.83293580430134,132.15447479073077,4143200,NKE
2021-03-15,136.81768798828125,136.87432333472438,132.7869711232504,132.81528879647198,5413900,NKE
2021-03-16,136.54391479492188,137.95985589989667,135.77930890282715,137.70499687166358,5623000,NKE
2021-03-17,136.7044219970703,137.95987729627075,135.1751955720134,135.1751955720134,5134400,NKE
2021-03-18,135.14691162109375,138.4413411103307,134.56166033674873,136.2796620826695,10188400,NKE
2021-03-19,129.78515625,134.85422038194207,127.91610377367226,132.15449231983195,24980400,NKE
2021-03-22,130.52146911621094,131.03120163115366,128.40699165354997,129.91733475597914,7537300,NKE
2021-03-23,129.4359130859375,132.7586594635391,128.89786286665637,130.7291493043328,5582600,NKE
2021-03-24,125.6978530883789,130.1911023656918,125.4335451546371,128.80347851169623,8157600,NKE
2021-03-25,121.43112182617188,122.13909245584958,118.41045002028687,119.93022754814298,18475800,NKE
2021-03-26,125.53734588623047,125.72613515633063,122.49779110541448,124.22524101404206,10010500,NKE
2021-03-29,126.0093002319336,126.40576193835102,123.33789012097549,125.49011904363871,7153900,NKE
2021-03-30,125.49960327148438,125.8771962872354,123.86655488900087,124.93323535340897,6026600,NKE
2021-03-31,125.44294738769531,126.6606504553909,124.52730427945899,125.63173666281965,6878900,NKE
2021-04-01,125.1031494140625,127.14210861850492,124.80108938583122,127.14210861850492,5720600,NKE
2021-04-05,127.5479736328125,128.07658935527465,125.6411832630309,125.6411832630309,5508900,NKE
2021-04-06,129.47366333007812,129.9928446369643,127.36862043158493,127.85004964510591,4670100,NKE
2021-04-07,128.88841247558594,130.49315749775835,128.7185064306218,129.31320639539626,6646000,NKE
2021-04-08,126.18865966796875,129.6152416237387,125.9338006492152,129.58692395498832,8748400,NKE
2021-04-09,127.85946655273438,127.90666746574882,126.01874617474147,126.43409116335451,6056800,NKE
2021-04-12,128.98280334472656,129.22822796779246,126.69841993347109,127.19871800598537,5638200,NKE
2021-04-13,126.0565185546875,128.3692340314144,125.92436461919156,128.0010898965544,8778200,NKE
2021-04-14,124.84822082519531,126.66062340599282,124.43289027009834,126.05648921239366,7354100,NKE
2021-04-15,126.1792221069336,126.55681502037301,125.24469585033,125.54677018108154,6284800,NKE
2021-04-16,126.78335571289062,127.21758396018919,126.23585679399105,127.16094862438867,6852500,NKE
2021-04-19,125.140869140625,126.84943559691916,124.7443929959955,126.77391701716574,5613600,NKE
2021-04-20,119.98685455322266,122.62049877492227,118.65586640506234,121.93141144297263,13268700,NKE
2021-04-21,122.62049102783203,123.02640162490945,120.23227877476363,120.43994408235966,7110900,NKE
2021-04-22,121.94085693359375,123.06417266114876,120.8081139846241,122.6110754815609,6442900,NKE
2021-04-23,122.89427185058594,123.32848579842545,121.2612235269543,121.70487189845979,7489000,NKE
2021-04-26,124.2252426147461,124.3196300491634,122.07301321973613,123.17744558793612,8217800,NKE
2021-04-27,124.70664978027344,125.34853614830028,124.0458801650407,124.60281352618705,5833100,NKE
2021-04-28,123.38511657714844,124.9143283904884,123.04529012932866,124.84824422388826,8195400,NKE
2021-04-29,125.79219055175781,126.60399728379562,123.87595159189466,124.38569840701182,6612500,NKE
2021-04-30,125.1880874633789,126.37748739213318,124.65003725098529,125.01818141852829,5643600,NKE
2021-05-03,125.57511138916016,126.91553407482482,125.15976630836556,125.89605462297433,5053000,NKE
2021-05-04,124.17804718017578,125.15976008292391,123.16800220178311,124.8199336158767,6129500,NKE
2021-05-05,124.80106353759766,126.69841955771156,124.67834402457929,125.26359511060772,6234200,NKE
2021-05-06,126.0093002319336,126.33967778543392,124.54615848444624,125.16917591040009,5201000,NKE
2021-05-07,130.0872039794922,131.5503457452202,127.17036927211072,127.43467707968408,10566700,NKE
2021-05-10,128.75625610351562,131.1161582637978,128.66186865932417,130.2665992475761,5669300,NKE
2021-05-11,129.4359130859375,130.62531302991712,127.44415502483685,130.62531302991712,8045400,NKE
2021-05-12,125.91496276855469,129.15275663131396,125.86776183573207,127.83120253079292,5865100,NKE
2021-05-13,126.12257385253906,127.46299614963618,125.065342610591,126.20752684797516,6284300,NKE
2021-05-14,128.31256103515625,129.02053150496937,126.53792485200469,126.81166709603949,4367900,NKE
2021-05-17,128.7656707763672,129.38868823831876,127.90666316098206,128.69015219882493,3934200,NKE
2021-05-18,127.96331024169922,129.76627863635147,127.85947398850728,128.79400026723476,5664700,NKE
2021-05-19,125.509033203125,126.4624284174186,124.56507241141698,125.99988244415016,5582300,NKE
2021-05-20,125.80167388916016,126.68899944478213,124.78219438293706,126.28308876555704,4934800,NKE
2021-05-21,125.22583770751953,126.65121326784218,124.98984751784172,126.33027006676791,5329700,NKE
2021-05-24,126.54739379882812,126.82115052124797,125.36744269388052,125.64119941630038,4313200,NKE
2021-05-25,126.79283905029297,127.59519719869225,126.34917626083072,127.37809021779606,4885800,NKE
2021-05-26,129.21876525878906,130.19104351923346,127.43468031058865,127.62346954882818,6781500,NKE
2021-05-27,128.90725708007812,130.55918812813886,128.81286966240634,129.8417832583115,12882300,NKE
2021-05-28,129.07284545898438,129.91466539176187,128.72286532028494,128.86475384119527,4153500,NKE
2021-06-01,127.22834777832031,130.57671932456,126.94459970894441,130.38754913405594,5577900,NKE
2021-06-02,126.90679931640625,128.1553489689141,126.3014458453384,127.30406117872279,5226100,NKE
2021-06-03,126.90679931640625,127.398653521888,125.336658789561,125.98930843221144,5027400,NKE
2021-06-04,126.50006866455078,127.6351044811722,125.11909855860634,127.21892131409955,5217100,NKE
2021-06-07,126.69869995117188,127.88103200452878,126.22576712982912,126.74599611985903,3765000,NKE
2021-06-08,126.13115692138672,127.4269879015021,125.24204113573418,127.39861309410983,4915200,NKE
2021-06-09,124.70291137695312,127.59725766762683,124.33402438760771,126.386550911172,6448100,NKE
2021-06-10,123.88946533203125,125.39340252099055,123.14223790015319,124.38131945775262,6584100,NKE
2021-06-11,124.7975082397461,124.84480440579345,123.46383429413349,124.38132507095094,5414500,NKE
2021-06-14,124.24887084960938,124.90152023930072,123.08546052998024,124.57046159930205,5743600,NKE
2021-06-15,123.23678588867188,124.61775560288264,122.8016959248894,124.41911753575805,5168100,NKE
2021-06-16,123.34085083007812,124.0691712791076,122.58417000448874,123.24627294326025,7915500,NKE
2021-06-17,121.94096374511719,122.84900086545083,120.93834874590654,122.24364759614853,8568100,NKE
2021-06-18,121.45858001708984,122.04501194920996,119.82222969261777,119.82222969261777,9784800,NKE
2021-06-21,123.0381851196289,123.68136672744767,121.73288612018702,122.2436615689956,6288500,NKE
2021-06-22,125.30828857421875,125.50692672905319,123.08551275587266,123.74761588404456,6043800,NKE
2021-06-23,125.89472198486328,126.46223270707593,125.0529021457316,125.62041286794424,4566000,NKE
2021-06-24,126.36764526367188,127.52160240765289,125.70552782192695,126.65139338697611,11420500,NKE
2021-06-25,145.9943389892578,146.22133746185884,142.33382985819017,144.15935769433838,46285400,NKE
2021-06-28,144.11207580566406,145.7105908947428,143.30808431488956,145.5876237547328,13133300,NKE
2021-06-29,147.50770568847656,147.93334223032306,144.6322812337095,144.96332546280763,10279900,NKE
2021-06-30,146.1267547607422,146.93073171264754,145.20926414351533,146.41050284214347,10281800,NKE
2021-07-01,149.4467315673828,149.6453696496275,145.5592242385411,145.7294875137166,9011500,NKE
2021-07-02,151.09255981445312,151.31010483777385,149.10623649596715,149.64538675743927,6396700,NKE
2021-07-06,151.4425048828125,151.75464218666812,149.31430780150978,151.262788153372,6671000,NKE
2021-07-07,151.48983764648438,152.75729408399917,149.71160570367854,151.48983764648438,5408300,NKE
2021-07-08,151.93438720703125,152.1141039699359,148.8319493721084,149.6075516144577,6081600,NKE
2021-07-09,152.28436279296875,153.19240012649817,151.820883449543,152.93701237132368,5002300,NKE
2021-07-12,153.05995178222656,153.63691584273954,152.0100405709494,152.88968849870966,4992200,NKE
2021-07-13,152.84239196777344,153.52341623465858,152.2937882842959,152.6153935006525,5747700,NKE
2021-07-14,152.79513549804688,153.9207179657619,152.6059652487221,153.10727290417697,4928000,NKE
2021-07-15,152.93704223632812,153.41942859451083,151.7074138200252,152.1519718969406,6432500,NKE
2021-07-16,151.19659423828125,152.94643661810275,150.99795614824995,152.87076565203182,6603700,NKE
2021-07-19,149.3237762451172,150.22235998249909,148.1225374969274,149.58861742052608,7377100,NKE
2021-07-20,151.09255981445312,151.74519488441533,148.1036213775405,148.74680298831908,4629200,NKE
2021-07-21,152.36001586914062,152.6910601331736,151.34793286041898,151.81141214937966,5393100,NKE
2021-07-22,154.81924438476562,154.88546189162008,152.21811449040254,152.38837777034195,4851500,NKE
2021-07-23,157.3542022705078,157.4393267109027,154.86657111647938,155.45301760453714,4217700,NKE
2021-07-26,156.15292358398438,157.51497214041802,154.95168485478533,156.73936997691413,3858800,NKE
2021-07-27,155.6610870361328,156.64478077268822,153.7788095585392,155.89755340319303,4359000,NKE
2021-07-28,156.50291442871094,156.91908313170117,155.19761539980726,155.58542372473696,4093600,NKE
2021-07-29,157.95008850097656,157.9879167713899,156.43669789471815,156.9190841144913,3605600,NKE
2021-07-30,158.4419708251953,158.78248308161503,157.34477749474635,157.57177604384862,5364400,NKE
2021-08-02,159.61480712890625,160.77821768191677,158.93378279720193,159.90802313201957,5532500,NKE
2021-08-03,161.9605255126953,162.21591320731414,159.36886359987744,160.05934128839166,5718100,NKE
2021-08-04,162.60372924804688,163.0104444545034,161.70515997768572,162.08350037591325,4646200,NKE
2021-08-05,164.438720703125,164.58059475308323,161.91324715177302,162.13080660539157,3824000,NKE
2021-08-06,163.44557189941406,164.94004121838452,163.35097957016714,164.92111986598252,4088700,NKE
2021-08-09,162.4713134765625,163.69147356482506,162.32942499845473,163.16179121851692,3612800,NKE
2021-08-10,162.9442596435547,164.5427747058473,162.1497216258015,162.272688763751,3747100,NKE
2021-08-11,161.9984130859375,163.84284820742624,161.68627569110643,162.68889096572266,4078300,NKE
2021-08-12,161.40249633789062,162.04569241478816,160.30528883967668,161.63896272460417,3997100,NKE
2021-08-13,162.3956756591797,162.4240504740413,159.6432031554868,161.22279705809635,2966200,NKE
2021-08-16,163.0293731689453,163.0672014373725,160.47553928363982,161.45923302312548,3530200,NKE
2021-08-17,161.42141723632812,162.4051110518762,160.21071049437845,162.25376910094175,3602900,NKE
2021-08-18,159.67156982421875,162.49971316751115,159.52969575714877,160.56068579856048,5487400,NKE
2021-08-19,156.62583923339844,158.47027377217202,155.4718823562663,157.9216845721346,7336300,NKE
